12726: started svm at C=0.1, size=red
12727: started svm at C=0.1, size=big
12728: started svm at C=1, size=red
12729: started svm at C=1, size=big
12730: started svm at C=10, size=red
12731: started svm at C=10, size=big
12732: started svm at C=100, size=red
12733: started svm at C=100, size=big
12734: started svm at C=1000, size=red
12735: started svm at C=1000, size=big
14572: started svm at C=0.1, size=red
14573: started svm at C=0.1, size=big
14574: started svm at C=1, size=red
14575: started svm at C=1, size=big
14576: started svm at C=10, size=red
14577: started svm at C=10, size=big
14578: started svm at C=100, size=red
14579: started svm at C=100, size=big
14580: started svm at C=1000, size=red
14581: started svm at C=1000, size=big
