1910: started svm at C=0.1, size=red
1911: started svm at C=0.1, size=big
1912: started svm at C=1, size=red
1913: started svm at C=1, size=big
1914: started svm at C=10, size=red
1915: started svm at C=10, size=big
1916: started svm at C=100, size=red
1917: started svm at C=100, size=big
1919: started svm at C=1000, size=red
1920: started svm at C=1000, size=big
4807: started svm at C=0.1, size=red
4808: started svm at C=0.1, size=big
4809: started svm at C=1, size=red
4810: started svm at C=1, size=big
4811: started svm at C=10, size=red
4812: started svm at C=10, size=big
4813: started svm at C=100, size=red
4814: started svm at C=100, size=big
4815: started svm at C=1000, size=red
4816: started svm at C=1000, size=big
